NodeId,Latitude,Longitude,Elevation,Distance,ECEFx,ECEFy,ECEFz,x,y,z,RSSI_mean,RSSI_median,RSSI_mode,RSSI_var,RSSI_model0,RSSI_model1,RSSI_model2,RSSI_model3,RSSI_model4,RSSI_model5,RSSI_model6
1,43.586525,13.516407,162,40,4499223,1081530,4375042,2,-20,-51,-99.9962121212121,-100,-101,3.2737498559742,-113.41,-18.7525400823398,-18.8068816936403,-8.90422067866738,9.63920663287641,-91.4694287608998,-94.4694287608998
2,43.586002,13.51633,160,97,4499262,1081533,4374998,41,-17,-95,-94.6590909090909,-95,-95,3.36622882820601,-121.687152180378,-30.6223955501034,-30.6767371614039,-20.774076146431,-2.23064883488718,-103.339284228663,-106.339284228663
3,43.585419,13.516218,154,162,4499303,1081534,4374947,82,-16,-146,-93.9469696969697,-93,-93,9.19869800668281,-125.932847819622,-36.7109381429772,-36.7652797542776,-26.8626187393047,-8.31919142776091,-109.427826821537,-112.427826821537
4,43.585423,13.515975,154,167,4499307,1081515,4374947,86,-35,-146,-95.4090909090909,-96,-97,6.02972692706532,-126.480489745046,-37.4962844023211,-37.5506260136216,-27.6479649986487,-9.10453768710487,-110.213173080881,-113.213173080881
5,43.584759,13.516003,163,237,4499362,1081531,4374900,141,-19,-193,-106.011363636364,-105,-105,20.414319045973,-129.59554600798,-41.9634328622253,-42.0177744735258,-32.1151134585529,-13.5716861470091,-114.680321540785,-117.680321540785
6,43.586205,13.515892,154,94,4499250,1081494,4375010,29,-56,-83,-107.367424242424,-107,-108,17.6097332642009,-120.735396376716,-29.2575295208362,-29.3118711321367,-19.4092101171637,-0.865782805619951,-101.974418199396,-104.974418199396
7,43.585876,13.515337,144,152,4499278,1081455,4374977,57,-95,-116,-98.3863636363637,-99,-99,8.48893881783616,-125.349850368737,-35.8748902693516,-35.9292318806521,-26.0265708656792,-7.48314355413537,-108.591778947912,-111.591778947912
8,43.585171,13.514808,159,238,4499351,1081429,4374931,130,-121,-162,-108.988636363636,-108,-107,11.1747753197373,-129.59554600798,-41.9634328622253,-42.0177744735258,-32.1151134585529,-13.5716861470091,-114.680321540785,-117.680321540785
9,43.585155,13.514817,159,239,4499352,1081430,4374929,131,-120,-164,-94.6325757575758,-95,-95,8.46904885355452,-129.59554600798,-41.9634328622253,-42.0177744735258,-32.1151134585529,-13.5716861470091,-114.680321540785,-117.680321540785
10,43.586605,13.515959,156,62,4499221,1081493,4375044,0,-57,-49,-88.5075757575758,-89,-89,2.76039866344047,-117.072698188358,-24.005034801588,-24.0593764128885,-14.1567153979156,4.38671191362823,-96.7219234801479,-99.7219234801479
11,43.586212,13.51479,144,167,4499264,1081406,4375004,43,-144,-89,-90.0227272727273,-90,-90,5.04130660214309,-126.480489745046,-37.4962844023211,-37.5506260136216,-27.6479649986487,-9.10453768710487,-110.213173080881,-113.213173080881
12,43.586048,13.514552,135,193,4499274,1081389,4374985,53,-161,-108,-100.984848484848,-100,-99,18.0530014978685,-127.485227080197,-38.9371286312791,-38.9914702425796,-29.0888092276066,-10.5453819160629,-111.654017309839,-114.654017309839
13,43.585754,13.513961,135,250,4499307,1081348,4374961,86,-202,-132,-86.9924242424242,-87,-87,5.44480930982832,-129.964304360757,-42.492251017867,-42.5465926291675,-32.6439316141946,-14.1005043026508,-115.209139696427,-118.209139696427
14,43.58675,13.515293,146,111,4499216,1081436,4375049,-5,-114,-44,-110.882575757576,-111,-109,12.2028891577371,-122.548120031669,-31.8570670572242,-31.9114086685247,-22.0087476535518,-3.46532034200799,-104.573955735784,-107.573955735784
15,43.586491,13.514944,146,144,4499241,1081414,4375028,20,-136,-65,-93.4280303030303,-93,-93,9.7362455351999,-124.726615322486,-34.9811396459211,-35.0354812572216,-25.1328202422487,-6.58939293070488,-107.698028324481,-110.698028324481
16,43.586315,13.514209,136,207,4499261,1081357,4375007,40,-193,-86,-86.8901515151515,-87,-87,4.8205870491992,-128.389313510844,-40.2336343651693,-40.2879759764698,-30.3853149614969,-11.8418876499531,-112.950523043729,-115.950523043729
17,43.586411,13.513798,136,237,4499262,1081323,4375015,41,-227,-78,-93.7689393939394,-95,-96,34.1175106579099,-129.211091169544,-41.412105151116,-41.4664467624165,-31.5637857474436,-13.0203584358998,-114.128993829676,-117.128993829676
18,43.586849,13.514909,146,142,4499215,1081404,4375057,-6,-146,-36,-101.344696969697,-101,-99,12.819895725314,-124.726615322486,-34.9811396459211,-35.0354812572216,-25.1328202422487,-6.58939293070488,-107.698028324481,-110.698028324481
19,43.5867,13.514251,136,196,4499232,1081354,4375038,11,-196,-55,-89.5568181818182,-89,-89,12.3389647424818,-127.485227080197,-38.9371286312791,-38.9914702425796,-29.0888092276066,-10.5453819160629,-111.654017309839,-114.654017309839
20,43.586601,13.513759,136,236,4499249,1081317,4375030,28,-233,-63,-99.9431818181818,-99,-97,13.8560750086416,-129.211091169544,-41.412105151116,-41.4664467624165,-31.5637857474436,-13.0203584358998,-114.128993829676,-117.128993829676
21,43.587269,13.514403,141,189,4499190,1081356,4375087,-31,-194,-6,-105.742424242424,-106,-107,3.83454315013248,-127.485227080197,-38.9371286312791,-38.9914702425796,-29.0888092276066,-10.5453819160629,-111.654017309839,-114.654017309839
22,43.587132,13.5136,134,250,4499211,1081294,4375071,-10,-256,-22,-106.068181818182,-106,-105,6.48963014172138,-129.964304360757,-42.492251017867,-42.5465926291675,-32.6439316141946,-14.1005043026508,-115.209139696427,-118.209139696427
23,43.587044,13.516308,162,36,4499186,1081513,4375083,-35,-37,-10,-83.0719696969697,-83,-83,6.03662576333678,-113.41,-18.7525400823398,-18.8068816936403,-8.90422067866738,9.63920663287641,-91.4694287608998,-94.4694287608998
24,43.587185,13.515691,143,88,4499173,1081459,4375082,-48,-91,-11,-84.0340909090909,-84,-85,2.86195126166609,-120.735396376716,-29.2575295208362,-29.3118711321367,-19.4092101171637,-0.865782805619951,-101.974418199396,-104.974418199396
25,43.587635,13.515096,142,155,4499151,1081404,4375117,-70,-146,24,-97.4128787878788,-97,-97,5.19390194722894,-125.349850368737,-35.8748902693516,-35.9292318806521,-26.0265708656792,-7.48314355413537,-108.591778947912,-111.591778947912
26,43.587856,13.514734,142,192,4499141,1081372,4375135,-80,-178,42,-97.4659090909091,-97,-97,9.03305392326307,-127.485227080197,-38.9371286312791,-38.9914702425796,-29.0888092276066,-10.5453819160629,-111.654017309839,-114.654017309839
27,43.588097,13.514154,131,247,4499126,1081320,4375147,-95,-230,54,-93.7186311787072,-94,-93,4.43961338635243,-129.59554600798,-41.9634328622253,-42.0177744735258,-32.1151134585529,-13.5716861470091,-114.680321540785,-117.680321540785
28,43.587288,13.516234,143,63,4499156,1081500,4375090,-65,-50,-3,-84.8143939393939,-84,-84,3.32283385182623,-117.072698188358,-24.005034801588,-24.0593764128885,-14.1567153979156,4.38671191362823,-96.7219234801479,-99.7219234801479
29,43.587765,13.51596,143,118,4499125,1081470,4375128,-96,-80,35,-86.6022727272727,-87,-87,3.10737124092639,-123.334122098169,-32.9842338319067,-33.0385754432072,-23.1359144282342,-4.59248711669043,-105.701122510467,-108.701122510467
30,43.588108,13.51586,127,158,4499090,1081453,4375145,-131,-97,52,-104.681818181818,-105,-105,48.3698582786035,-125.349850368737,-35.8748902693516,-35.9292318806521,-26.0265708656792,-7.48314355413537,-108.591778947912,-111.591778947912
31,43.588394,13.515478,127,200,4499076,1081418,4375168,-145,-132,75,-99.5189393939394,-99,-97,28.881769213043,-127.948576090189,-39.6015945804221,-39.6559361917226,-29.7532751767496,-11.2098478652059,-112.318483258982,-115.318483258982
32,43.588799,13.515425,117,243,4499040,1081405,4375194,-181,-145,101,-103.060606060606,-102,-101,17.479202673119,-129.59554600798,-41.9634328622253,-42.0177744735258,-32.1151134585529,-13.5716861470091,-114.680321540785,-117.680321540785
